"STATISTIC Label","Month","Taxation Class","UNIT","VALUE"
"Vehicles Licensed for the First Time","1999 May","New Vehicles","Number","22874"
"Vehicles Licensed for the First Time","1999 May","New Private Cars","Number","18979"
"Vehicles Licensed for the First Time","1999 May","New Goods Vehicles","Number","2718"
"Vehicles Licensed for the First Time","1999 May","New Tractors","Number","221"
"Vehicles Licensed for the First Time","1999 May","New Motor Cycles","Number","409"
"Vehicles Licensed for the First Time","1999 May","New Exempt Vehicles","Number","280"
"Vehicles Licensed for the First Time","1999 May","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","267"
"Vehicles Licensed for the First Time","1999 May","Secondhand Vehicles","Number","4788"
"Vehicles Licensed for the First Time","1999 May","Secondhand Private Cars","Number","3066"
"Vehicles Licensed for the First Time","1999 May","Secondhand Goods Vehicles","Number","908"
"Vehicles Licensed for the First Time","1999 May","Secondhand Tractors","Number","297"
"Vehicles Licensed for the First Time","1999 May","Secondhand Other Vehicles","Number","246"
"Vehicles Licensed for the First Time","1999 May","Secondhand Motor Cycles","Number","271"
"Vehicles Licensed for the First Time","1999 June","All Vehicles","Number","26056"
"Vehicles Licensed for the First Time","1999 June","New Vehicles","Number","21326"
"Vehicles Licensed for the First Time","1999 June","New Private Cars","Number","17296"
"Vehicles Licensed for the First Time","1999 June","New Goods Vehicles","Number","2843"
"Vehicles Licensed for the First Time","1999 June","New Tractors","Number","242"
"Vehicles Licensed for the First Time","1999 June","New Motor Cycles","Number","409"
"Vehicles Licensed for the First Time","1999 June","New Exempt Vehicles","Number","309"
"Vehicles Licensed for the First Time","1999 June","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","227"
"Vehicles Licensed for the First Time","1999 June","Secondhand Vehicles","Number","4730"
"Vehicles Licensed for the First Time","1999 June","Secondhand Private Cars","Number","3083"
"Vehicles Licensed for the First Time","1999 June","Secondhand Goods Vehicles","Number","786"
"Vehicles Licensed for the First Time","1999 June","Secondhand Tractors","Number","345"
"Vehicles Licensed for the First Time","1999 June","Secondhand Other Vehicles","Number","245"
"Vehicles Licensed for the First Time","1999 June","Secondhand Motor Cycles","Number","271"
"Vehicles Licensed for the First Time","1999 July","All Vehicles","Number","26129"
"Vehicles Licensed for the First Time","1999 July","New Vehicles","Number","20901"
"Vehicles Licensed for the First Time","1999 July","New Private Cars","Number","16588"
"Vehicles Licensed for the First Time","1999 July","New Goods Vehicles","Number","2944"
"Vehicles Licensed for the First Time","1999 July","New Tractors","Number","249"
"Vehicles Licensed for the First Time","1999 July","New Motor Cycles","Number","548"
"Vehicles Licensed for the First Time","1999 July","New Exempt Vehicles","Number","303"
"Vehicles Licensed for the First Time","1999 July","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","269"
"Vehicles Licensed for the First Time","1999 July","Secondhand Vehicles","Number","5228"
"Vehicles Licensed for the First Time","1999 July","Secondhand Private Cars","Number","3441"
"Vehicles Licensed for the First Time","1999 July","Secondhand Goods Vehicles","Number","879"
"Vehicles Licensed for the First Time","1999 July","Secondhand Tractors","Number","298"
"Vehicles Licensed for the First Time","1999 July","Secondhand Other Vehicles","Number","272"
"Vehicles Licensed for the First Time","1999 July","Secondhand Motor Cycles","Number","338"
"Vehicles Licensed for the First Time","1999 August","All Vehicles","Number","21380"
"Vehicles Licensed for the First Time","1999 August","New Vehicles","Number","16412"
"Vehicles Licensed for the First Time","1999 August","New Private Cars","Number","12561"
"Vehicles Licensed for the First Time","1999 August","New Goods Vehicles","Number","2516"
"Vehicles Licensed for the First Time","1999 August","New Tractors","Number","295"
"Vehicles Licensed for the First Time","1999 August","New Motor Cycles","Number","540"
"Vehicles Licensed for the First Time","1999 August","New Exempt Vehicles","Number","232"
"Vehicles Licensed for the First Time","1999 August","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","268"
"Vehicles Licensed for the First Time","1999 August","Secondhand Vehicles","Number","4968"
"Vehicles Licensed for the First Time","1999 August","Secondhand Private Cars","Number","3129"
"Vehicles Licensed for the First Time","1999 August","Secondhand Goods Vehicles","Number","930"
"Vehicles Licensed for the First Time","1999 August","Secondhand Tractors","Number","336"
"Vehicles Licensed for the First Time","1999 August","Secondhand Other Vehicles","Number","250"
"Vehicles Licensed for the First Time","1999 August","Secondhand Motor Cycles","Number","323"
"Vehicles Licensed for the First Time","1999 September","All Vehicles","Number","18518"
"Vehicles Licensed for the First Time","1999 September","New Vehicles","Number","13828"
"Vehicles Licensed for the First Time","1999 September","New Private Cars","Number","10405"
"Vehicles Licensed for the First Time","1999 September","New Goods Vehicles","Number","2243"
"Vehicles Licensed for the First Time","1999 September","New Tractors","Number","230"
"Vehicles Licensed for the First Time","1999 September","New Motor Cycles","Number","482"
"Vehicles Licensed for the First Time","1999 September","New Exempt Vehicles","Number","229"
"Vehicles Licensed for the First Time","1999 September","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","239"
"Vehicles Licensed for the First Time","1999 September","Secondhand Vehicles","Number","4690"
"Vehicles Licensed for the First Time","1999 September","Secondhand Private Cars","Number","3095"
"Vehicles Licensed for the First Time","1999 September","Secondhand Goods Vehicles","Number","865"
"Vehicles Licensed for the First Time","1999 September","Secondhand Tractors","Number","267"
"Vehicles Licensed for the First Time","1999 September","Secondhand Other Vehicles","Number","212"
"Vehicles Licensed for the First Time","1999 September","Secondhand Motor Cycles","Number","251"
"Vehicles Licensed for the First Time","1999 October","All Vehicles","Number","15842"
"Vehicles Licensed for the First Time","1999 October","New Vehicles","Number","11559"
"Vehicles Licensed for the First Time","1999 October","New Private Cars","Number","8537"
"Vehicles Licensed for the First Time","1999 October","New Goods Vehicles","Number","1947"
"Vehicles Licensed for the First Time","1999 October","New Tractors","Number","185"
"Vehicles Licensed for the First Time","1999 October","New Motor Cycles","Number","482"
"Vehicles Licensed for the First Time","1999 October","New Exempt Vehicles","Number","139"
"Vehicles Licensed for the First Time","1999 October","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","269"
"Vehicles Licensed for the First Time","1999 October","Secondhand Vehicles","Number","4283"
"Vehicles Licensed for the First Time","1999 October","Secondhand Private Cars","Number","2844"
"Vehicles Licensed for the First Time","1999 October","Secondhand Goods Vehicles","Number","751"
"Vehicles Licensed for the First Time","1999 October","Secondhand Tractors","Number","261"
"Vehicles Licensed for the First Time","1999 October","Secondhand Other Vehicles","Number","220"
"Vehicles Licensed for the First Time","1999 October","Secondhand Motor Cycles","Number","207"
"Vehicles Licensed for the First Time","1999 November","All Vehicles","Number","14913"
"Vehicles Licensed for the First Time","1999 November","New Vehicles","Number","10413"
"Vehicles Licensed for the First Time","1999 November","New Private Cars","Number","7304"
"Vehicles Licensed for the First Time","1999 November","New Goods Vehicles","Number","2102"
"Vehicles Licensed for the First Time","1999 November","New Tractors","Number","190"
"Vehicles Licensed for the First Time","1999 November","New Motor Cycles","Number","450"
"Vehicles Licensed for the First Time","1999 November","New Exempt Vehicles","Number","180"
"Vehicles Licensed for the First Time","1999 November","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","187"
"Vehicles Licensed for the First Time","1999 November","Secondhand Vehicles","Number","4500"
"Vehicles Licensed for the First Time","1999 November","Secondhand Private Cars","Number","3006"
"Vehicles Licensed for the First Time","1999 November","Secondhand Goods Vehicles","Number","769"
"Vehicles Licensed for the First Time","1999 November","Secondhand Tractors","Number","274"
"Vehicles Licensed for the First Time","1999 November","Secondhand Other Vehicles","Number","256"
"Vehicles Licensed for the First Time","1999 November","Secondhand Motor Cycles","Number","195"
"Vehicles Licensed for the First Time","1999 December","All Vehicles","Number","9620"
"Vehicles Licensed for the First Time","1999 December","New Vehicles","Number","5904"
"Vehicles Licensed for the First Time","1999 December","New Private Cars","Number","4003"
"Vehicles Licensed for the First Time","1999 December","New Goods Vehicles","Number","1289"
"Vehicles Licensed for the First Time","1999 December","New Tractors","Number","118"
"Vehicles Licensed for the First Time","1999 December","New Motor Cycles","Number","261"
"Vehicles Licensed for the First Time","1999 December","New Exempt Vehicles","Number","98"
"Vehicles Licensed for the First Time","1999 December","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","135"
"Vehicles Licensed for the First Time","1999 December","Secondhand Vehicles","Number","3716"
"Vehicles Licensed for the First Time","1999 December","Secondhand Private Cars","Number","2581"
"Vehicles Licensed for the First Time","1999 December","Secondhand Goods Vehicles","Number","610"
"Vehicles Licensed for the First Time","1999 December","Secondhand Tractors","Number","191"
"Vehicles Licensed for the First Time","1999 December","Secondhand Other Vehicles","Number","197"
"Vehicles Licensed for the First Time","1999 December","Secondhand Motor Cycles","Number","137"
"Vehicles Licensed for the First Time","2000 January","All Vehicles","Number","26872"
"Vehicles Licensed for the First Time","2000 January","New Vehicles","Number","23807"
"Vehicles Licensed for the First Time","2000 January","New Private Cars","Number","20100"
"Vehicles Licensed for the First Time","2000 January","New Goods Vehicles","Number","2571"
"Vehicles Licensed for the First Time","2000 January","New Tractors","Number","226"
"Vehicles Licensed for the First Time","2000 January","New Motor Cycles","Number","392"
"Vehicles Licensed for the First Time","2000 January","New Exempt Vehicles","Number","307"
"Vehicles Licensed for the First Time","2000 January","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","211"
"Vehicles Licensed for the First Time","2000 January","Secondhand Vehicles","Number","3065"
"Vehicles Licensed for the First Time","2000 January","Secondhand Private Cars","Number","2013"
"Vehicles Licensed for the First Time","2000 January","Secondhand Goods Vehicles","Number","513"
"Vehicles Licensed for the First Time","2000 January","Secondhand Tractors","Number","219"
"Vehicles Licensed for the First Time","2000 January","Secondhand Other Vehicles","Number","176"
"Vehicles Licensed for the First Time","2000 January","Secondhand Motor Cycles","Number","144"
"Vehicles Licensed for the First Time","2000 February","All Vehicles","Number","38169"
"Vehicles Licensed for the First Time","2000 February","New Vehicles","Number","34376"
"Vehicles Licensed for the First Time","2000 February","New Private Cars","Number","29419"
"Vehicles Licensed for the First Time","2000 February","New Goods Vehicles","Number","3579"
"Vehicles Licensed for the First Time","2000 February","New Tractors","Number","304"
"Vehicles Licensed for the First Time","2000 February","New Motor Cycles","Number","498"
"Vehicles Licensed for the First Time","2000 February","New Exempt Vehicles","Number","310"
"Vehicles Licensed for the First Time","2000 February","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","266"
"Vehicles Licensed for the First Time","2000 February","Secondhand Vehicles","Number","3793"
"Vehicles Licensed for the First Time","2000 February","Secondhand Private Cars","Number","2396"
"Vehicles Licensed for the First Time","2000 February","Secondhand Goods Vehicles","Number","687"
"Vehicles Licensed for the First Time","2000 February","Secondhand Tractors","Number","278"
"Vehicles Licensed for the First Time","2000 February","Secondhand Other Vehicles","Number","215"
"Vehicles Licensed for the First Time","2000 February","Secondhand Motor Cycles","Number","217"
"Vehicles Licensed for the First Time","2000 March","All Vehicles","Number","39324"
"Vehicles Licensed for the First Time","2000 March","New Vehicles","Number","35331"
"Vehicles Licensed for the First Time","2000 March","New Private Cars","Number","30125"
"Vehicles Licensed for the First Time","2000 March","New Goods Vehicles","Number","3705"
"Vehicles Licensed for the First Time","2000 March","New Tractors","Number","303"
"Vehicles Licensed for the First Time","2000 March","New Motor Cycles","Number","588"
"Vehicles Licensed for the First Time","2000 March","New Exempt Vehicles","Number","284"
"Vehicles Licensed for the First Time","2000 March","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","326"
"Vehicles Licensed for the First Time","2000 March","Secondhand Vehicles","Number","3993"
"Vehicles Licensed for the First Time","2000 March","Secondhand Private Cars","Number","2545"
"Vehicles Licensed for the First Time","2000 March","Secondhand Goods Vehicles","Number","709"
"Vehicles Licensed for the First Time","2000 March","Secondhand Tractors","Number","246"
"Vehicles Licensed for the First Time","2000 March","Secondhand Other Vehicles","Number","260"
"Vehicles Licensed for the First Time","2000 March","Secondhand Motor Cycles","Number","233"
"Vehicles Licensed for the First Time","2000 April","All Vehicles","Number","34849"
"Vehicles Licensed for the First Time","2000 April","New Vehicles","Number","31540"
"Vehicles Licensed for the First Time","2000 April","New Private Cars","Number","27147"
"Vehicles Licensed for the First Time","2000 April","New Goods Vehicles","Number","3075"
"Vehicles Licensed for the First Time","2000 April","New Tractors","Number","271"
"Vehicles Licensed for the First Time","2000 April","New Motor Cycles","Number","528"
"Vehicles Licensed for the First Time","2000 April","New Exempt Vehicles","Number","239"
"Vehicles Licensed for the First Time","2000 April","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","280"
"Vehicles Licensed for the First Time","2000 April","Secondhand Vehicles","Number","3309"
"Vehicles Licensed for the First Time","2000 April","Secondhand Private Cars","Number","2024"
"Vehicles Licensed for the First Time","2000 April","Secondhand Goods Vehicles","Number","601"
"Vehicles Licensed for the First Time","2000 April","Secondhand Tractors","Number","276"
"Vehicles Licensed for the First Time","2000 April","Secondhand Other Vehicles","Number","185"
"Vehicles Licensed for the First Time","2000 April","Secondhand Motor Cycles","Number","223"
"Vehicles Licensed for the First Time","2000 May","All Vehicles","Number","36683"
"Vehicles Licensed for the First Time","2000 May","New Vehicles","Number","33026"
"Vehicles Licensed for the First Time","2000 May","New Private Cars","Number","27832"
"Vehicles Licensed for the First Time","2000 May","New Goods Vehicles","Number","3586"
"Vehicles Licensed for the First Time","2000 May","New Tractors","Number","284"
"Vehicles Licensed for the First Time","2000 May","New Motor Cycles","Number","688"
"Vehicles Licensed for the First Time","2000 May","New Exempt Vehicles","Number","304"
"Vehicles Licensed for the First Time","2000 May","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","332"
"Vehicles Licensed for the First Time","2000 May","Secondhand Vehicles","Number","3657"
"Vehicles Licensed for the First Time","2000 May","Secondhand Private Cars","Number","2124"
"Vehicles Licensed for the First Time","2000 May","Secondhand Goods Vehicles","Number","677"
"Vehicles Licensed for the First Time","2000 May","Secondhand Tractors","Number","275"
"Vehicles Licensed for the First Time","2000 May","Secondhand Other Vehicles","Number","292"
"Vehicles Licensed for the First Time","2000 May","Secondhand Motor Cycles","Number","289"
"Vehicles Licensed for the First Time","2000 June","All Vehicles","Number","32341"
"Vehicles Licensed for the First Time","2000 June","New Vehicles","Number","28668"
"Vehicles Licensed for the First Time","2000 June","New Private Cars","Number","23874"
"Vehicles Licensed for the First Time","2000 June","New Goods Vehicles","Number","3270"
"Vehicles Licensed for the First Time","2000 June","New Tractors","Number","314"
"Vehicles Licensed for the First Time","2000 June","New Motor Cycles","Number","707"
"Vehicles Licensed for the First Time","2000 June","New Exempt Vehicles","Number","266"
"Vehicles Licensed for the First Time","2000 June","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","237"
"Vehicles Licensed for the First Time","2000 June","Secondhand Vehicles","Number","3673"
"Vehicles Licensed for the First Time","2000 June","Secondhand Private Cars","Number","2197"
"Vehicles Licensed for the First Time","2000 June","Secondhand Goods Vehicles","Number","605"
"Vehicles Licensed for the First Time","2000 June","Secondhand Tractors","Number","309"
"Vehicles Licensed for the First Time","2000 June","Secondhand Other Vehicles","Number","236"
"Vehicles Licensed for the First Time","2000 June","Secondhand Motor Cycles","Number","326"
"Vehicles Licensed for the First Time","2000 July","All Vehicles","Number","27575"
"Vehicles Licensed for the First Time","2000 July","New Vehicles","Number","24295"
"Vehicles Licensed for the First Time","2000 July","New Private Cars","Number","19728"
"Vehicles Licensed for the First Time","2000 July","New Goods Vehicles","Number","3100"
"Vehicles Licensed for the First Time","2000 July","New Tractors","Number","266"
"Vehicles Licensed for the First Time","2000 July","New Motor Cycles","Number","657"
"Vehicles Licensed for the First Time","2000 July","New Exempt Vehicles","Number","335"
"Vehicles Licensed for the First Time","2000 July","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","209"
"Vehicles Licensed for the First Time","2000 July","Secondhand Vehicles","Number","3280"
"Vehicles Licensed for the First Time","2000 July","Secondhand Private Cars","Number","1973"
"Vehicles Licensed for the First Time","2000 July","Secondhand Goods Vehicles","Number","538"
"Vehicles Licensed for the First Time","2000 July","Secondhand Tractors","Number","259"
"Vehicles Licensed for the First Time","2000 July","Secondhand Other Vehicles","Number","184"
"Vehicles Licensed for the First Time","2000 July","Secondhand Motor Cycles","Number","326"
"Vehicles Licensed for the First Time","2000 August","All Vehicles","Number","23569"
"Vehicles Licensed for the First Time","2000 August","New Vehicles","Number","20232"
"Vehicles Licensed for the First Time","2000 August","New Private Cars","Number","15847"
"Vehicles Licensed for the First Time","2000 August","New Goods Vehicles","Number","2859"
"Vehicles Licensed for the First Time","2000 August","New Tractors","Number","222"
"Vehicles Licensed for the First Time","2000 August","New Motor Cycles","Number","683"
"Vehicles Licensed for the First Time","2000 August","New Exempt Vehicles","Number","303"
"Vehicles Licensed for the First Time","2000 August","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","318"
"Vehicles Licensed for the First Time","2000 August","Secondhand Vehicles","Number","3337"
"Vehicles Licensed for the First Time","2000 August","Secondhand Private Cars","Number","1967"
"Vehicles Licensed for the First Time","2000 August","Secondhand Goods Vehicles","Number","528"
"Vehicles Licensed for the First Time","2000 August","Secondhand Tractors","Number","249"
"Vehicles Licensed for the First Time","2000 August","Secondhand Other Vehicles","Number","244"
"Vehicles Licensed for the First Time","2000 August","Secondhand Motor Cycles","Number","349"
"Vehicles Licensed for the First Time","2000 September","All Vehicles","Number","18409"
"Vehicles Licensed for the First Time","2000 September","New Vehicles","Number","15359"
"Vehicles Licensed for the First Time","2000 September","New Private Cars","Number","11477"
"Vehicles Licensed for the First Time","2000 September","New Goods Vehicles","Number","2545"
"Vehicles Licensed for the First Time","2000 September","New Tractors","Number","145"
"Vehicles Licensed for the First Time","2000 September","New Motor Cycles","Number","634"
"Vehicles Licensed for the First Time","2000 September","New Exempt Vehicles","Number","313"
"Vehicles Licensed for the First Time","2000 September","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","245"
"Vehicles Licensed for the First Time","2000 September","Secondhand Vehicles","Number","3050"
"Vehicles Licensed for the First Time","2000 September","Secondhand Private Cars","Number","1779"
"Vehicles Licensed for the First Time","2000 September","Secondhand Goods Vehicles","Number","592"
"Vehicles Licensed for the First Time","2000 September","Secondhand Tractors","Number","190"
"Vehicles Licensed for the First Time","2000 September","Secondhand Other Vehicles","Number","227"
"Vehicles Licensed for the First Time","2000 September","Secondhand Motor Cycles","Number","262"
"Vehicles Licensed for the First Time","2000 October","All Vehicles","Number","15490"
"Vehicles Licensed for the First Time","2000 October","New Vehicles","Number","12599"
"Vehicles Licensed for the First Time","2000 October","New Private Cars","Number","9301"
"Vehicles Licensed for the First Time","2000 October","New Goods Vehicles","Number","2007"
"Vehicles Licensed for the First Time","2000 October","New Tractors","Number","178"
"Vehicles Licensed for the First Time","2000 October","New Motor Cycles","Number","624"
"Vehicles Licensed for the First Time","2000 October","New Exempt Vehicles","Number","293"
"Vehicles Licensed for the First Time","2000 October","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","196"
"Vehicles Licensed for the First Time","2000 October","Secondhand Vehicles","Number","2891"
"Vehicles Licensed for the First Time","2000 October","Secondhand Private Cars","Number","1739"
"Vehicles Licensed for the First Time","2000 October","Secondhand Goods Vehicles","Number","541"
"Vehicles Licensed for the First Time","2000 October","Secondhand Tractors","Number","175"
"Vehicles Licensed for the First Time","2000 October","Secondhand Other Vehicles","Number","196"
"Vehicles Licensed for the First Time","2000 October","Secondhand Motor Cycles","Number","240"
"Vehicles Licensed for the First Time","2000 November","All Vehicles","Number","13035"
"Vehicles Licensed for the First Time","2000 November","New Vehicles","Number","10120"
"Vehicles Licensed for the First Time","2000 November","New Private Cars","Number","6933"
"Vehicles Licensed for the First Time","2000 November","New Goods Vehicles","Number","2003"
"Vehicles Licensed for the First Time","2000 November","New Tractors","Number","161"
"Vehicles Licensed for the First Time","2000 November","New Motor Cycles","Number","538"
"Vehicles Licensed for the First Time","2000 November","New Exempt Vehicles","Number","227"
"Vehicles Licensed for the First Time","2000 November","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","258"
"Vehicles Licensed for the First Time","2000 November","Secondhand Vehicles","Number","2915"
"Vehicles Licensed for the First Time","2000 November","Secondhand Private Cars","Number","1782"
"Vehicles Licensed for the First Time","2000 November","Secondhand Goods Vehicles","Number","573"
"Vehicles Licensed for the First Time","2000 November","Secondhand Tractors","Number","164"
"Vehicles Licensed for the First Time","2000 November","Secondhand Other Vehicles","Number","215"
"Vehicles Licensed for the First Time","2000 November","Secondhand Motor Cycles","Number","181"
"Vehicles Licensed for the First Time","2000 December","All Vehicles","Number","7976"
"Vehicles Licensed for the First Time","2000 December","New Vehicles","Number","5638"
"Vehicles Licensed for the First Time","2000 December","New Private Cars","Number","3486"
"Vehicles Licensed for the First Time","2000 December","New Goods Vehicles","Number","1306"
"Vehicles Licensed for the First Time","2000 December","New Tractors","Number","143"
"Vehicles Licensed for the First Time","2000 December","New Motor Cycles","Number","334"
"Vehicles Licensed for the First Time","2000 December","New Exempt Vehicles","Number","140"
"Vehicles Licensed for the First Time","2000 December","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","229"
"Vehicles Licensed for the First Time","2000 December","Secondhand Vehicles","Number","2338"
"Vehicles Licensed for the First Time","2000 December","Secondhand Private Cars","Number","1464"
"Vehicles Licensed for the First Time","2000 December","Secondhand Goods Vehicles","Number","419"
"Vehicles Licensed for the First Time","2000 December","Secondhand Tractors","Number","145"
"Vehicles Licensed for the First Time","2000 December","Secondhand Other Vehicles","Number","142"
"Vehicles Licensed for the First Time","2000 December","Secondhand Motor Cycles","Number","168"
"Vehicles Licensed for the First Time","2001 January","All Vehicles","Number","22965"
"Vehicles Licensed for the First Time","2001 January","New Vehicles","Number","20622"
"Vehicles Licensed for the First Time","2001 January","New Private Cars","Number","16528"
"Vehicles Licensed for the First Time","2001 January","New Goods Vehicles","Number","2770"
"Vehicles Licensed for the First Time","2001 January","New Tractors","Number","249"
"Vehicles Licensed for the First Time","2001 January","New Motor Cycles","Number","557"
"Vehicles Licensed for the First Time","2001 January","New Exempt Vehicles","Number","303"
"Vehicles Licensed for the First Time","2001 January","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","215"
"Vehicles Licensed for the First Time","2001 January","Secondhand Vehicles","Number","2343"
"Vehicles Licensed for the First Time","2001 January","Secondhand Private Cars","Number","1358"
"Vehicles Licensed for the First Time","2001 January","Secondhand Goods Vehicles","Number","440"
"Vehicles Licensed for the First Time","2001 January","Secondhand Tractors","Number","193"
"Vehicles Licensed for the First Time","2001 January","Secondhand Other Vehicles","Number","175"
"Vehicles Licensed for the First Time","2001 January","Secondhand Motor Cycles","Number","177"
"Vehicles Licensed for the First Time","2001 February","All Vehicles","Number","30030"
"Vehicles Licensed for the First Time","2001 February","New Vehicles","Number","27396"
"Vehicles Licensed for the First Time","2001 February","New Private Cars","Number","22258"
"Vehicles Licensed for the First Time","2001 February","New Goods Vehicles","Number","3695"
"Vehicles Licensed for the First Time","2001 February","New Tractors","Number","223"
"Vehicles Licensed for the First Time","2001 February","New Motor Cycles","Number","580"
"Vehicles Licensed for the First Time","2001 February","New Exempt Vehicles","Number","385"
"Vehicles Licensed for the First Time","2001 February","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","255"
"Vehicles Licensed for the First Time","2001 February","Secondhand Vehicles","Number","2634"
"Vehicles Licensed for the First Time","2001 February","Secondhand Private Cars","Number","1528"
"Vehicles Licensed for the First Time","2001 February","Secondhand Goods Vehicles","Number","529"
"Vehicles Licensed for the First Time","2001 February","Secondhand Tractors","Number","197"
"Vehicles Licensed for the First Time","2001 February","Secondhand Other Vehicles","Number","210"
"Vehicles Licensed for the First Time","2001 February","Secondhand Motor Cycles","Number","170"
"Vehicles Licensed for the First Time","2001 March","All Vehicles","Number","30366"
"Vehicles Licensed for the First Time","2001 March","New Vehicles","Number","27505"
"Vehicles Licensed for the First Time","2001 March","New Private Cars","Number","22146"
"Vehicles Licensed for the First Time","2001 March","New Goods Vehicles","Number","3689"
"Vehicles Licensed for the First Time","2001 March","New Tractors","Number","276"
"Vehicles Licensed for the First Time","2001 March","New Motor Cycles","Number","650"
"Vehicles Licensed for the First Time","2001 March","New Exempt Vehicles","Number","364"
"Vehicles Licensed for the First Time","2001 March","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","380"
"Vehicles Licensed for the First Time","2001 March","Secondhand Vehicles","Number","2861"
"Vehicles Licensed for the First Time","2001 March","Secondhand Private Cars","Number","1529"
"Vehicles Licensed for the First Time","2001 March","Secondhand Goods Vehicles","Number","591"
"Vehicles Licensed for the First Time","2001 March","Secondhand Tractors","Number","205"
"Vehicles Licensed for the First Time","2001 March","Secondhand Other Vehicles","Number","252"
"Vehicles Licensed for the First Time","2001 March","Secondhand Motor Cycles","Number","284"
"Vehicles Licensed for the First Time","2001 April","All Vehicles","Number","25995"
"Vehicles Licensed for the First Time","2001 April","New Vehicles","Number","23400"
"Vehicles Licensed for the First Time","2001 April","New Private Cars","Number","19027"
"Vehicles Licensed for the First Time","2001 April","New Goods Vehicles","Number","3028"
"Vehicles Licensed for the First Time","2001 April","New Tractors","Number","222"
"Vehicles Licensed for the First Time","2001 April","New Motor Cycles","Number","603"
"Vehicles Licensed for the First Time","2001 April","New Exempt Vehicles","Number","272"
"Vehicles Licensed for the First Time","2001 April","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","248"
"Vehicles Licensed for the First Time","2001 April","Secondhand Vehicles","Number","2595"
"Vehicles Licensed for the First Time","2001 April","Secondhand Private Cars","Number","1351"
"Vehicles Licensed for the First Time","2001 April","Secondhand Goods Vehicles","Number","506"
"Vehicles Licensed for the First Time","2001 April","Secondhand Tractors","Number","202"
"Vehicles Licensed for the First Time","2001 April","Secondhand Other Vehicles","Number","242"
"Vehicles Licensed for the First Time","2001 April","Secondhand Motor Cycles","Number","294"
"Vehicles Licensed for the First Time","2001 May","All Vehicles","Number","27066"
"Vehicles Licensed for the First Time","2001 May","New Vehicles","Number","24200"
"Vehicles Licensed for the First Time","2001 May","New Private Cars","Number","19436"
"Vehicles Licensed for the First Time","2001 May","New Goods Vehicles","Number","3087"
"Vehicles Licensed for the First Time","2001 May","New Tractors","Number","291"
"Vehicles Licensed for the First Time","2001 May","New Motor Cycles","Number","683"
"Vehicles Licensed for the First Time","2001 May","New Exempt Vehicles","Number","388"
"Vehicles Licensed for the First Time","2001 May","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","315"
"Vehicles Licensed for the First Time","2001 May","Secondhand Vehicles","Number","2866"
"Vehicles Licensed for the First Time","2001 May","Secondhand Private Cars","Number","1442"
"Vehicles Licensed for the First Time","2001 May","Secondhand Goods Vehicles","Number","587"
"Vehicles Licensed for the First Time","2001 May","Secondhand Tractors","Number","218"
"Vehicles Licensed for the First Time","2001 May","Secondhand Other Vehicles","Number","260"
"Vehicles Licensed for the First Time","2001 May","Secondhand Motor Cycles","Number","359"
"Vehicles Licensed for the First Time","2001 June","All Vehicles","Number","22344"
"Vehicles Licensed for the First Time","2001 June","New Vehicles","Number","19751"
"Vehicles Licensed for the First Time","2001 June","New Private Cars","Number","15688"
"Vehicles Licensed for the First Time","2001 June","New Goods Vehicles","Number","2606"
"Vehicles Licensed for the First Time","2001 June","New Tractors","Number","253"
"Vehicles Licensed for the First Time","2001 June","New Motor Cycles","Number","645"
"Vehicles Licensed for the First Time","2001 June","New Exempt Vehicles","Number","346"
"Vehicles Licensed for the First Time","2001 June","New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)","Number","213"
"Vehicles Licensed for the First Time","2001 June","Secondhand Vehicles","Number","2593"
